subject,difficulty,hours_available,deadline_days,importance,study_type,previous_score,actual_hours_needed
Biology,4,5,1,5,Theory,60,33.28
Economics,4,2,4,2,Theory,66,4.29
Geography,1,5,10,3,Conceptual,72,2.06
Computer Science,3,1,14,3,Conceptual,70,2.98
History,2,7,6,4,Conceptual,95,3.44
Economics,2,5,13,5,Theory,58,2.57
Biology,5,1,11,3,Theory,65,3.3
Math,3,4,6,5,Conceptual,73,7.3
Machine Learning,3,4,14,1,Theory,65,1.46
Machine Learning,5,3,9,2,Conceptual,72,4.01
Economics,3,7,14,5,Theory,64,2.87
Machine Learning,2,1,4,1,Practical,45,4.8
English,1,1,14,5,Practical,95,1.37
Statistics,4,2,14,3,Practical,92,3.05
Geography,3,7,1,3,Theory,88,14.78
AI,2,3,15,5,Practical,76,3.44
Math,4,7,10,1,Conceptual,84,1.73
English,1,2,2,3,Conceptual,63,5.38
English,2,2,14,4,Theory,71,1.84
Biology,2,5,12,1,Conceptual,47,2.94
Geography,5,3,10,2,Theory,54,3.07
Geography,2,2,1,2,Conceptual,46,12.19
Physics,3,3,15,1,Conceptual,50,2.88
Statistics,5,2,4,5,Practical,89,19.41
Geography,5,1,15,5,Theory,47,4.36
Geography,5,2,13,2,Practical,71,4.05
Programming,3,4,14,2,Theory,76,1.45
Economics,1,4,8,3,Practical,91,1.66
Physics,2,6,5,1,Theory,52,2.18
Machine Learning,2,7,11,5,Practical,95,3.03
Geography,3,8,13,3,Theory,84,1.62
English,1,6,14,5,Theory,48,2.24
Geography,2,4,8,3,Theory,73,2.06
AI,1,3,9,2,Practical,42,4.15
Physics,4,8,5,4,Practical,49,12.66
Computer Science,4,8,2,3,Conceptual,78,15.46
AI,5,4,14,1,Practical,43,4.49
AI,2,2,8,5,Theory,75,2.8
AI,4,1,9,3,Theory,51,3.7
English,5,3,5,4,Conceptual,43,12.34
Programming,1,8,11,3,Theory,45,2.2
Physics,2,6,10,2,Conceptual,88,1.54
English,1,7,15,4,Theory,45,2.19
Physics,1,8,2,5,Theory,50,5.6
Math,4,2,14,3,Conceptual,75,3.26
English,5,6,2,2,Practical,52,17.88
Machine Learning,2,1,6,3,Conceptual,55,4.56
Math,3,1,13,5,Practical,57,6.04
AI,2,4,10,2,Conceptual,54,3.17
Economics,5,5,1,5,Practical,69,76.86
Math,3,4,1,1,Practical,61,11.34
Economics,4,5,1,2,Theory,50,14.4
Biology,1,1,3,4,Practical,55,6.7
Physics,4,2,9,5,Theory,66,4.64
Math,3,2,12,1,Conceptual,88,1.18
Machine Learning,1,3,9,4,Conceptual,94,1.35
Computer Science,2,4,9,1,Practical,95,0.97
Biology,3,4,3,5,Conceptual,49,14.45
Geography,4,3,9,4,Theory,53,4.35
English,5,6,15,3,Theory,60,2.88
Machine Learning,1,8,5,1,Practical,79,1.86
Computer Science,3,7,5,1,Theory,49,2.59
Programming,3,1,8,5,Conceptual,59,6.47
Economics,5,4,10,5,Conceptual,50,8.4
Math,3,7,13,4,Practical,85,3.67
Machine Learning,4,2,13,5,Theory,81,3.07
Computer Science,5,5,11,4,Theory,65,4.03
AI,2,7,3,4,Practical,50,11.0
Chemistry,1,7,10,2,Conceptual,60,2.4
History,4,6,14,3,Theory,70,2.33
Physics,2,2,1,2,Practical,77,13.38
Chemistry,1,2,15,4,Practical,93,1.22
Statistics,2,4,7,4,Practical,80,4.63
Geography,4,3,10,2,Practical,81,3.54
Computer Science,1,8,10,3,Theory,69,1.47
Economics,1,8,2,3,Conceptual,60,5.52
History,3,5,12,4,Practical,61,5.34
History,4,4,14,4,Practical,70,5.23
Geography,5,4,8,4,Practical,43,10.92
Geography,5,4,8,1,Practical,80,3.07
English,5,7,6,5,Practical,57,15.08
Geography,5,2,4,5,Theory,88,10.38
Biology,3,8,6,1,Theory,72,1.7
Computer Science,2,7,12,3,Practical,74,3.06
Programming,1,5,15,1,Theory,66,1.19
Statistics,4,1,2,3,Practical,50,21.0
Machine Learning,1,1,7,4,Theory,80,1.55
English,1,2,3,3,Conceptual,85,3.12
Physics,4,2,1,2,Conceptual,66,20.83
Economics,2,1,10,1,Practical,47,3.78
Physics,3,4,1,1,Theory,51,6.37
Computer Science,3,6,10,5,Practical,62,6.78
Economics,5,7,7,4,Practical,62,10.85
Machine Learning,1,7,3,2,Theory,90,1.39
Math,2,6,14,2,Conceptual,83,1.5
Economics,2,4,12,2,Theory,55,1.97
Geography,1,3,2,2,Practical,77,4.38
Physics,5,2,6,5,Conceptual,95,10.24
AI,1,4,8,5,Practical,40,5.47
Geography,4,7,9,5,Theory,92,3.81
Computer Science,1,5,3,3,Conceptual,78,3.46
Math,3,2,5,4,Theory,58,5.18
Biology,1,2,10,5,Theory,47,2.5
Chemistry,1,8,5,1,Practical,62,2.88
